"","protein","avg_percent","avg_percent_all","FC","cate","log2FC","spec","new_column","spec1","source","Sum","Mean","F","pvalue","qvalue"
"229","PECAM1",0.00202466567966968,0.00134283253895632,1.50775738666811,"Exo-CMDS",0.592404303135823,"no",NA,"no","method1","1.664595e-05","5.548651e-06","33.0331724",5.073879e-13,1.58256702142857e-12
"230","EMCN",0.00726783554605278,0.00486915507295568,1.49262766068386,"Exo-CMDS",0.577854326839673,"no",NA,"no","method1","3.014897e-04","1.004966e-04","392.733271",3.824461e-41,1.81085924457831e-40
"231","ITGA4B7",0.000992675783024675,0.000668695403149133,1.48449619714716,"Exo-CMDS",0.569973397559018,"no",NA,"no","method1","7.647812e-06","2.549271e-06","597.444060",1.007999e-46,6.338297712e-46
"232","EPHA2",0.00251812280382434,0.00172750494417932,1.4576646002137,"Exo-CMDS",0.543658802467991,"spec",NA,"spec","method1","1.557765e-05","5.192551e-06","105.2935235",1.048057e-24,3.58162087826087e-24
"233","PTPRJ",0.00126703634293753,0.000876506660292919,1.44555244168265,"Exo-CMDS",0.531620947786344,"no",NA,"no","method1","5.723906e-06","1.907969e-06","94.89208285",1.613418e-23,5.3963682893617e-23
"234","CLDN10",0.00134454839185221,0.000937417643837162,1.43431095061164,"Exo-CMDS",0.520357826183562,"no",NA,"no","method1","7.621752e-06","2.540584e-06","74.61441673",7.279409e-21,2.34492437459016e-20
"235","CDH11",0.00290747303083861,0.00203010983122832,1.43217523806554,"Exo-CMDS",0.518208028650023,"spec",NA,"spec","method1","1.864405e-05","6.214685e-06","158.9782364",1.32047e-29,4.67517756756757e-29
"236","L1CAM",0.00399849569579012,0.00280716842571103,1.42438752843173,"Exo-CMDS",0.510341709004802,"no",NA,"no","method1","5.478294e-05","1.826098e-05","210.684481",4.197434e-33,1.65788096683417e-32
"237","JAM3",0.0021732423997528,0.00153274125721727,1.41787949500255,"Exo-CMDS",0.503734923727064,"no",NA,"no","method1","4.514060e-05","1.504687e-05","429.1492370",2.582511e-42,1.27663751320755e-41
"238","VCAM1",0.00493723341708855,0.00348865696083318,1.41522467600524,"Exo-CMDS",0.501031108341702,"no",NA,"no","method1","9.814952e-05","3.271651e-05","246.873057",4.087935e-35,1.68226016230366e-34
"239","CXCR2",0.00301038385974264,0.00216009452437432,1.39363524409406,"Exo-CMDS",0.478853014293943,"no",NA,"no","method1","5.400498e-05","1.800166e-05","132.691875",2.021569e-27,7.03076652212389e-27
"240","CAV1",0.00125332313547494,0.000902231510753722,1.38913695712968,"Exo-CMDS",0.474188843834252,"no",NA,"no","method1","4.178277e-06","1.392759e-06","49.97075515",9.24417e-17,2.91803920481928e-16
"241","SIGLEC9",0.00284901257145376,0.00208783213519896,1.36457932772563,"Exo-CMDS",0.448456265912708,"no",NA,"no","method1","3.517856e-05","1.172619e-05","208.874179",5.391076e-33,2.118692868e-32
"242","DSG2",0.000482563032111955,0.00035553271860864,1.35729570544293,"Exo-CMDS",0.440735065856975,"spec",NA,"spec","method1","4.308506e-07","1.436169e-07","41.0395455",6.494802e-15,2.0419657488e-14
"243","CD24",0.0029141925688864,0.00215894878762264,1.34982014654243,"Exo-CMDS",0.432767191737575,"no",NA,"no","method1","6.675420e-05","2.225140e-05","918.5630628",1.572367e-52,1.56440564810127e-51
"244","ULBP1",0.00185769618231829,0.00139131943963486,1.33520464775928,"Exo-CMDS",0.417060881748131,"no",NA,"no","method1","1.136330e-05","3.787768e-06","73.193633",1.17092e-20,3.75650253061224e-20
"245","GSN",0.00253798709095629,0.0019043709906947,1.33271673605491,"Exo-CMDS",0.414370173588388,"no",NA,"no","method1","7.231760e-05","2.410587e-05","382.365211",8.603862e-41,3.97802090117647e-40
"246","HLA-A",0.00148714419789684,0.0011166034189132,1.33184635897344,"Exo-CMDS",0.413427663541519,"no",NA,"no","method1","9.189904e-06","3.063301e-06","149.829101",6.964715e-29,2.44386874553571e-28
"247","CDH2",0.0017621060597407,0.0013311829173769,1.32371444730746,"Exo-CMDS",0.404591936431392,"no",NA,"no","method1","2.351929e-05","7.839762e-06","175.8003207",7.647635e-31,2.78288940277778e-30
"248","ITGA2",0.00425091961703907,0.00323846979134445,1.31263216609295,"Exo-CMDS",0.392462691934732,"no",NA,"no","method1","2.991646e-05","9.972155e-06","96.751748",9.724802e-24,3.29469585e-23
"249","FAS",0.00334972692309407,0.00255740927515301,1.30981261217708,"Exo-CMDS",0.3893604279305,"no",NA,"no","method1","2.048682e-04","6.828939e-05","1810.6075146",8.400666e-62,2.87083629391304e-60
"250","FOLH1",0.00293886563526841,0.00226140605139281,1.29957449855516,"Exo-CMDS",0.378039339170172,"no",NA,"no","method1","2.948130e-05","9.827099e-06","102.530921",2.11832e-24,7.20779012987013e-24
"251","IGF2",0.00172612738169397,0.00132918851585465,1.29863248222852,"Exo-CMDS",0.376993200542666,"no",NA,"no","method1","9.259504e-06","3.086501e-06","74.62978395",7.242358e-21,2.34258987160494e-20
