"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"114","c7","IGHA2",0.942857142857143,0.0166666666666667
"115","c4","COLEC11",0.942857142857143,0.0166666666666667
"116","c7","CFH",0.942857142857143,0.0166666666666667
"117","c3","PRDX2",0.885714285714286,0.0333333333333333
"118","c3","CDC42",0.885714285714286,0.0333333333333333
"119","c3","ALAD",0.942857142857143,0.0166666666666667
"120","c7","IGLV2-18",0.942857142857143,0.0166666666666667
"121","c3","PSMD2",1,0.0166666666666667
"122","c4","TFRC",0.885714285714286,0.0333333333333333
"123","c9","TFRC",1,0.00277777777777778
"124","c9","VCP",0.942857142857143,0.0166666666666667
"125","c7","C7",0.942857142857143,0.0166666666666667
"126","c4","CZIB",0.869656553478673,0.0243768916856908
"127","c9","CZIB",0.927633657043918,0.00766584418747316
"128","c1","EXTL2",1,0.0166666666666667
"129","c2","EXTL2",1,0.0166666666666667
"130","c8","EXTL2",1,0.0166666666666667
"131","c3","GAPDH",1,0.00277777777777778
"132","c1","IGHV3-73",0.942857142857143,0.0166666666666667
"133","c5","IGHV3-73",0.885714285714286,0.0333333333333333
"134","c7","IGHV3-73",0.885714285714286,0.0333333333333333
"135","c13","APOD",0.885714285714286,0.0333333333333333
"136","c3","ACLY",0.942857142857143,0.0166666666666667
"137","c9","C1QB",0.885714285714286,0.0333333333333333
"138","c9","IGHV7-4-1",0.942857142857143,0.0166666666666667
"139","c3","ILK",0.942857142857143,0.0166666666666667
"140","c3","YWHAB",1,0.0166666666666667
"141","c3","GC",0.885714285714286,0.0333333333333333
"142","c9","NID1",0.885714285714286,0.0333333333333333
"143","c3","MPP1",0.942857142857143,0.0166666666666667
"144","c2","CD248",1,0.0166666666666667
"145","c8","CD248",1,0.0166666666666667
"146","c9","CD14",0.942857142857143,0.0166666666666667
"147","c4","IGHV1-45",0.885714285714286,0.0333333333333333
"148","c4","IGKV4-1",0.885714285714286,0.0333333333333333
"149","c4","LAMA2",0.942857142857143,0.0166666666666667
"150","c9","LAMA2",0.942857142857143,0.0166666666666667
"151","c7","GPX3",0.942857142857143,0.0166666666666667
"152","c3","APOH",0.885714285714286,0.0333333333333333
"153","c2","FARP1",0.942857142857143,0.0166666666666667
"154","c8","FARP1",0.942857142857143,0.0166666666666667
"155","c7","C6",0.942857142857143,0.0166666666666667
"156","c3","ALB",0.942857142857143,0.0166666666666667
"157","c3","VWF",0.942857142857143,0.0166666666666667
"158","c4","VWF",0.885714285714286,0.0333333333333333
"159","c9","VWF",0.885714285714286,0.0333333333333333
"160","c3","MMRN1",0.885714285714286,0.0333333333333333
"161","c3","PFN1",0.942857142857143,0.0166666666666667
"162","c9","MARCKSL1",1,0.0166666666666667
"163","c5","PTPRG",1,0.00277777777777778
"164","c1","IGFALS",0.885714285714286,0.0333333333333333
"165","c7","IGFALS",0.942857142857143,0.0166666666666667
"166","c7","IGHG1",0.942857142857143,0.0166666666666667
"167","c13","APP",0.885714285714286,0.0333333333333333
"168","c3","PSMB6",0.885714285714286,0.0333333333333333
"169","c3","FLOT2",0.885714285714286,0.0333333333333333
"170","c9","CCT8",1,0.0166666666666667
"171","c1","ATRN",0.885714285714286,0.0333333333333333
"172","c2","ATRN",0.942857142857143,0.0166666666666667
"173","c8","ATRN",0.942857142857143,0.0166666666666667
"174","c9","IGKV5-2",0.942857142857143,0.0166666666666667
"175","c3","GNB1",0.885714285714286,0.0333333333333333
"176","c7","HP",0.942857142857143,0.0166666666666667
"177","c3","SPTB",0.885714285714286,0.0333333333333333
"178","c7","ITIH4",0.942857142857143,0.0166666666666667
"179","c7","A2M",0.942857142857143,0.0166666666666667
"180","c7","PCSK9",0.942857142857143,0.0166666666666667
"181","c3","MCM2",0.885714285714286,0.0333333333333333
"182","c4","FCGBP",0.942857142857143,0.0166666666666667
"183","c1","ITIH3",0.942857142857143,0.0166666666666667
"184","c2","ITIH3",1,0.00277777777777778
"185","c8","ITIH3",1,0.00277777777777778
